filename,scopus_link,citedby_link
201800000.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077976956&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077976956&origin=inward
201800001.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060936020&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060936020&origin=inward
201800002.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052201238&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052201238&origin=inward
201800003.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051498032&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051498032&origin=inward
201800004.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050678366&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050678366&origin=inward
201800005.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059846549&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059846549&origin=inward
201800006.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053455291&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053455291&origin=inward
201800007.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078621193&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078621193&origin=inward
201800008.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061529820&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061529820&origin=inward
201800009.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058878790&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058878790&origin=inward
201800010.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053749794&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053749794&origin=inward
