order,citations_count,title,cities_link,main_link
1,242,Active and intelligent packaging: The indication of quality and safety,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85021412297,https://www.scopus.com/record/display.uri?eid=2-s2.0-85021412297&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=0
2,217,Bacterial cellulose-based scaffold materials for bone tissue engineering,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041507752,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041507752&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1
3,141,Effect of cellulose nanocrystals from sugarcane bagasse on whey protein isolate-based films,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85042766439,https://www.scopus.com/record/display.uri?eid=2-s2.0-85042766439&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=2
4,137,"Enhanced activity, selectivity and stability of a CuO-ZnO-ZrO2 catalyst by adding graphene oxide for CO2 hydrogenation to methanol",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85035126752,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035126752&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=3
5,134,"Diversity, biogeography and conservation of freshwater mussels (Bivalvia: Unionida) in East and Southeast Asia",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85011659310,https://www.scopus.com/record/display.uri?eid=2-s2.0-85011659310&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=4
6,132,Factors influencing corrosion of metal pipes in soils,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85044477433,https://www.scopus.com/record/display.uri?eid=2-s2.0-85044477433&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=5
7,132,Gluten-free bakery and pasta products: prevalence and quality improvement,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041018322,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041018322&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=6
8,128,Thermal performance in solar air heater with perforated-winglet-type vortex generator,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85049355584,https://www.scopus.com/record/display.uri?eid=2-s2.0-85049355584&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=7
9,128,Characterization of pectin extracted from banana peels of different varieties,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85047660348,https://www.scopus.com/record/display.uri?eid=2-s2.0-85047660348&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=8
10,128,MERS coronaviruses from camels in Africa exhibit region-dependent genetic diversity,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85044278309,https://www.scopus.com/record/display.uri?eid=2-s2.0-85044278309&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=9
11,115,The EQ-5D-5L Valuation study in Thailand,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85049627841,https://www.scopus.com/record/display.uri?eid=2-s2.0-85049627841&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=10
12,107,Molecular interaction of 1-aminocyclopropane-1-carboxylate deaminase (ACCD)-producing endophytic Streptomyces sp. GMKU 336 towards salt-stress resistance of Oryza sativa L. cv. KDML105,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041375312,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041375312&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=11
13,99,Intracellular Ca2+ stores control in vivo neuronal hyperactivity in a mouse model of Alzheimer's disease,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041657101,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041657101&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=12
