order,cited_count,year,subject,country
0,242,"['2025~1', '2024~58', '2023~45', '2022~45', '2021~39', '2020~26', '2019~20', '2018~4', '2017~4']","['Agricultural and Biological Sciences~117', 'Materials Science~65', 'Engineering~62', 'Chemistry~61', 'Biochemistry, Genetics and Molecular Biology~43', 'Chemical Engineering~43', 'Environmental Science~25', 'Medicine~20', 'Physics and Astronomy~18', 'Immunology and Microbiology~17']","['China~68', 'India~40', 'United States~29', 'Brazil~17', 'South Korea~16', 'Spain~13', 'Iran~9', 'Thailand~8', 'Canada~6', 'Ireland~6']"
1,242,"['2025~1', '2024~58', '2023~45', '2022~45', '2021~39', '2020~26', '2019~20', '2018~4', '2017~4']","['Agricultural and Biological Sciences~117', 'Materials Science~65', 'Engineering~62', 'Chemistry~61', 'Biochemistry, Genetics and Molecular Biology~43', 'Chemical Engineering~43', 'Environmental Science~25', 'Medicine~20', 'Physics and Astronomy~18', 'Immunology and Microbiology~17']","['China~68', 'India~40', 'United States~29', 'Brazil~17', 'South Korea~16', 'Spain~13', 'Iran~9', 'Thailand~8', 'Canada~6', 'Ireland~6']"
2,217,"['2024~33', '2023~35', '2022~44', '2021~34', '2020~40', '2019~27', '2018~4']","['Materials Science~128', 'Engineering~73', 'Chemistry~70', 'Biochemistry, Genetics and Molecular Biology~58', 'Chemical Engineering~47', 'Physics and Astronomy~20', 'Medicine~18', 'Agricultural and Biological Sciences~15', 'Environmental Science~11', 'Pharmacology, Toxicology and Pharmaceutics~10']","['China~57', 'India~31', 'United States~22', 'Iran~16', 'Thailand~13', 'Canada~11', 'Portugal~11', 'Germany~10', 'Romania~10', 'Malaysia~9']"
3,141,"['2024~29', '2023~34', '2022~23', '2021~25', '2020~16', '2019~13', '2018~1']","['Agricultural and Biological Sciences~59', 'Materials Science~53', 'Chemistry~52', 'Chemical Engineering~30', 'Engineering~29', 'Biochemistry, Genetics and Molecular Biology~27', 'Environmental Science~10', 'Energy~9', 'Immunology and Microbiology~8', 'Medicine~6']","['China~41', 'India~21', 'Thailand~15', 'Brazil~11', 'Canada~9', 'Malaysia~7', 'Indonesia~6', 'Turkey~6', 'United States~5', 'Brunei Darussalam~4']"
4,137,"['2025~1', '2024~16', '2023~16', '2022~23', '2021~19', '2020~25', '2019~25', '2018~12']","['Chemistry~83', 'Chemical Engineering~82', 'Environmental Science~34', 'Engineering~33', 'Energy~32', 'Materials Science~23', 'Physics and Astronomy~13', 'Biochemistry, Genetics and Molecular Biology~5', 'Pharmacology, Toxicology and Pharmaceutics~3', 'Agricultural and Biological Sciences~1']","['China~63', 'Thailand~15', 'Japan~14', 'Malaysia~11', 'United States~9', 'India~8', 'Spain~7', 'Australia~5', 'Canada~5', 'United Arab Emirates~5']"
5,134,"['2024~16', '2023~19', '2022~15', '2021~28', '2020~15', '2019~21', '2018~15', '2017~5']","['Agricultural and Biological Sciences~105', 'Environmental Science~51', 'Biochemistry, Genetics and Molecular Biology~18', 'Multidisciplinary~15', 'Earth and Planetary Sciences~12', 'Social Sciences~5', 'Chemical Engineering~1', 'Immunology and Microbiology~1', 'Neuroscience~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['United States~46', 'China~38', 'Russian Federation~36', 'United Kingdom~34', 'Portugal~33', 'Thailand~15', 'Myanmar~12', 'Germany~10', 'Malaysia~9', 'Poland~9']"
6,132,"['2025~2', '2024~40', '2023~27', '2022~22', '2021~22', '2020~15', '2019~4']","['Materials Science~65', 'Engineering~58', 'Environmental Science~29', 'Chemistry~17', 'Chemical Engineering~12', 'Physics and Astronomy~11', 'Earth and Planetary Sciences~10', 'Biochemistry, Genetics and Molecular Biology~9', 'Energy~9', 'Agricultural and Biological Sciences~8']","['China~44', 'Australia~19', 'United States~15', 'Hong Kong~8', 'Canada~7', 'Malaysia~7', 'South Korea~7', 'Saudi Arabia~6', 'Egypt~5', 'India~4']"
7,132,"['2024~24', '2023~20', '2022~24', '2021~22', '2020~21', '2019~18', '2018~3']","['Agricultural and Biological Sciences~116', 'Engineering~41', 'Chemistry~35', 'Chemical Engineering~23', 'Biochemistry, Genetics and Molecular Biology~19', 'Immunology and Microbiology~18', 'Health Professions~11', 'Social Sciences~10', 'Business, Management and Accounting~4', 'Computer Science~4']","['United States~17', 'India~15', 'China~13', 'Italy~12', 'Iran~11', 'Turkey~11', 'Brazil~8', 'New Zealand~7', 'Indonesia~6', 'Spain~6']"
8,128,"['2025~3', '2024~24', '2023~23', '2022~30', '2021~18', '2020~20', '2019~10']","['Engineering~75', 'Energy~48', 'Physics and Astronomy~47', 'Chemical Engineering~41', 'Materials Science~22', 'Chemistry~11', 'Environmental Science~8', 'Mathematics~7', 'Computer Science~6', 'Social Sciences~5']","['India~49', 'Thailand~28', 'China~14', 'Iran~14', 'Saudi Arabia~9', 'Turkey~9', 'United Kingdom~6', 'Egypt~4', 'Brazil~3', 'United States~3']"
9,128,"['2024~45', '2023~35', '2022~21', '2021~13', '2020~11', '2019~3']","['Agricultural and Biological Sciences~58', 'Chemistry~29', 'Chemical Engineering~22', 'Biochemistry, Genetics and Molecular Biology~21', 'Environmental Science~21', 'Materials Science~19', 'Engineering~18', 'Immunology and Microbiology~14', 'Social Sciences~14', 'Energy~13']","['India~34', 'Indonesia~11', 'China~10', 'Ethiopia~7', 'Malaysia~7', 'Thailand~7', 'United States~6', 'Philippines~5', 'Viet Nam~5', 'Brazil~4']"
