filename,refcount,global,cluster
201800000.json,1,100.0,1
201800001.json,1,100.0,1
201800002.json,22,86.36363636363636,1
201800003.json,57,92.72727272727272,1
201800004.json,82,81.81818181818183,1
201800005.json,16,66.66666666666666,1
201800006.json,15,100.0,1
201800007.json,0,0.0,0
201800008.json,42,89.74358974358975,1
201800009.json,4,71.42857142857143,1
201800010.json,21,100.0,1
201800011.json,6,85.71428571428571,1
201800012.json,0,0.0,0
201800013.json,25,100.0,1
201800014.json,3,75.0,1
201800015.json,6,42.85714285714285,0
201800016.json,15,100.0,1
201800017.json,125,100.0,1
201800018.json,36,75.0,1
201800019.json,0,0.0,0
201800020.json,1,0.0,0
201800021.json,4,50.0,0
201800022.json,7,100.0,1
201800023.json,0,0.0,0
201800024.json,1,100.0,1
201800025.json,3,66.66666666666666,1
201800026.json,2,66.66666666666666,1
201800027.json,0,0.0,0
201800028.json,3,100.0,1
201800029.json,0,0.0,0
201800030.json,0,0.0,0
201800031.json,1,0.0,0
201800032.json,29,82.14285714285714,1
201800033.json,10,100.0,1
201800034.json,4,100.0,1
201800035.json,6,100.0,1
201800036.json,1,100.0,1
201800037.json,24,100.0,1
201800038.json,4,100.0,1
201800039.json,4,100.0,1
201800040.json,48,100.0,1
201800041.json,21,65.9090909090909,1
201800042.json,46,85.71428571428571,1
201800043.json,63,100.0,1
201800044.json,88,95.41284403669724,1
201800045.json,52,100.0,1
201800046.json,1,100.0,1
201800047.json,12,0.0,0
201800048.json,0,0.0,0
201800049.json,32,72.22222222222221,1
201800050.json,11,100.0,1
201800051.json,10,100.0,1
201800052.json,8,50.0,0
201800053.json,5,20.0,0
201800054.json,3,66.66666666666666,1
201800055.json,21,69.23076923076923,1
201800056.json,8,88.88888888888889,1
201800057.json,3,80.0,1
201800058.json,74,91.66666666666666,1
201800059.json,18,100.0,1
201800060.json,9,76.92307692307693,1
201800061.json,7,44.44444444444444,0
201800062.json,0,0.0,0
201800063.json,3,100.0,1
201800064.json,10,81.81818181818183,1
201800065.json,7,80.0,1
201800066.json,4,50.0,0
201800067.json,1,100.0,1
201800068.json,2,100.0,1
201800069.json,2,100.0,1
201800070.json,35,84.90566037735849,1
201800071.json,49,100.0,1
201800072.json,0,0.0,0
201800073.json,0,0.0,0
201800074.json,0,0.0,0
201800075.json,0,0.0,0
201800076.json,1,100.0,1
201800077.json,1,100.0,1
201800078.json,1,0.0,0
201800079.json,1,100.0,1
201800080.json,3,25.0,0
201800081.json,8,88.88888888888889,1
201800082.json,2,50.0,0
201800083.json,2,0.0,0
201800084.json,2,50.0,0
201800085.json,2,100.0,1
201800086.json,0,0.0,0
201800087.json,3,66.66666666666666,1
201800088.json,28,100.0,1
201800089.json,0,0.0,0
201800090.json,3,66.66666666666666,1
201800091.json,8,100.0,1
201800092.json,16,100.0,1
201800093.json,2,100.0,1
201800094.json,4,75.0,1
201800095.json,7,30.0,0
201800096.json,2,90.0,1
201800097.json,5,71.42857142857143,1
201800098.json,10,100.0,1
201800099.json,3,50.0,0
201800100.json,0,0.0,0
201800101.json,2,100.0,1
201800102.json,2,50.0,0
201800103.json,13,86.66666666666667,1
201800104.json,8,88.88888888888889,1
201800105.json,1,100.0,1
201800106.json,3,100.0,1
201800107.json,4,80.0,1
201800108.json,0,0.0,0
201800109.json,2,100.0,1
201800110.json,39,100.0,1
201800111.json,45,100.0,1
201800112.json,6,88.88888888888889,1
201800113.json,9,100.0,1
201800114.json,13,70.0,1
201800115.json,1,0.0,0
201800116.json,7,81.81818181818183,1
201800117.json,68,85.45454545454545,1
201800118.json,25,100.0,1
201800119.json,18,73.80952380952381,1
201800120.json,32,100.0,1
201800121.json,2,100.0,1
201800122.json,22,82.14285714285714,1
201800123.json,8,100.0,1
201800124.json,7,100.0,1
201800125.json,17,90.47619047619048,1
201800126.json,5,90.9090909090909,1
201800127.json,169,100.0,1
201800128.json,25,80.76923076923077,1
201800129.json,11,66.66666666666666,1
201800130.json,155,100.0,1
201800131.json,17,90.0,1
201800132.json,11,100.0,1
201800133.json,72,100.0,1
201800134.json,2,100.0,1
201800135.json,2,33.33333333333333,0
201800136.json,14,64.70588235294117,1
201800137.json,5,83.33333333333334,1
201800138.json,11,71.42857142857143,1
201800139.json,5,76.92307692307693,1
201800140.json,8,100.0,1
201800141.json,23,100.0,1
201800142.json,29,90.0,1
201800143.json,6,68.75,1
201800144.json,22,73.07692307692307,1
201800145.json,2,0.0,0
201800146.json,1,100.0,1
201800147.json,5,100.0,1
201800148.json,3,100.0,1
201800149.json,4,80.0,1
201800150.json,17,100.0,1
201800151.json,15,75.0,1
201800152.json,25,75.0,1
201800153.json,48,90.47619047619048,1
201800154.json,8,50.0,0
201800155.json,9,95.45454545454544,1
201800156.json,3,75.0,1
201800157.json,9,100.0,1
201800158.json,24,100.0,1
201800159.json,7,80.0,1
201800160.json,9,63.63636363636363,1
201800161.json,18,93.5483870967742,1
201800162.json,12,100.0,1
201800163.json,14,100.0,1
201800164.json,6,37.5,0
201800165.json,39,100.0,1
201800166.json,25,47.22222222222222,1
201800167.json,82,90.625,1
201800168.json,22,64.0,1
201800169.json,89,82.8125,1
201800170.json,28,77.5,1
201800171.json,28,95.1219512195122,1
201800172.json,37,72.72727272727273,1
201800173.json,21,90.9090909090909,1
201800174.json,11,76.92307692307693,1
201800175.json,12,85.71428571428571,1
201800176.json,15,100.0,1
201800177.json,3,100.0,1
201800178.json,19,84.375,1
201800179.json,6,90.0,1
201800180.json,11,100.0,1
201800181.json,56,65.15151515151516,1
201800182.json,3,100.0,1
201800183.json,11,84.21052631578947,1
201800184.json,1,100.0,1
201800185.json,25,100.0,1
201800186.json,55,82.25806451612904,1
201800187.json,6,37.5,0
201800188.json,4,100.0,1
201800189.json,9,80.0,1
201800190.json,23,100.0,1
201800191.json,12,46.15384615384615,0
201800192.json,87,100.0,1
201800193.json,17,100.0,1
201800194.json,13,40.0,0
201800195.json,4,50.0,0
201800196.json,6,100.0,1
201800197.json,30,81.25,1
201800198.json,30,94.73684210526316,1
201800199.json,3,0.0,0
201800200.json,5,100.0,1
201800201.json,7,60.0,1
201800202.json,62,91.93548387096774,1
201800203.json,8,100.0,1
201800204.json,19,83.33333333333334,1
201800205.json,11,73.33333333333333,1
201800206.json,11,100.0,1
201800207.json,17,84.61538461538461,1
201800208.json,32,94.87179487179486,1
201800209.json,32,67.5,1
201800210.json,140,88.73239436619718,1
201800211.json,80,82.78688524590164,1
201800212.json,56,100.0,1
201800213.json,85,75.82417582417582,1
201800214.json,14,100.0,1
201800215.json,25,82.14285714285714,1
201800216.json,13,90.0,1
201800217.json,21,87.5,1
201800218.json,36,100.0,1
201800219.json,40,61.224489795918366,1
201800220.json,22,91.30434782608695,1
201800221.json,55,100.0,1
201800222.json,41,82.0,1
201800223.json,0,0.0,0
201800224.json,25,75.86206896551724,1
201800225.json,36,100.0,1
201800226.json,16,85.0,1
201800227.json,14,88.23529411764706,1
201800228.json,25,100.0,1
201800229.json,14,100.0,1
201800230.json,55,75.43859649122807,1
201800231.json,22,100.0,1
201800232.json,12,64.28571428571429,1
201800233.json,12,100.0,1
201800234.json,33,100.0,1
201800235.json,36,95.1219512195122,1
201800236.json,11,84.61538461538461,1
201800237.json,18,74.19354838709677,1
201800238.json,20,100.0,1
201800239.json,182,78.94736842105263,1
201800240.json,20,64.28571428571429,1
201800241.json,54,95.3125,1
201800242.json,5,88.88888888888889,1
201800243.json,26,90.9090909090909,1
201800244.json,14,66.66666666666666,1
201800245.json,29,86.95652173913044,1
201800246.json,26,92.0,1
201800247.json,9,78.57142857142857,1
201800248.json,13,85.71428571428571,1
201800249.json,9,80.0,1
201800250.json,2,100.0,1
201800251.json,11,100.0,1
201800252.json,3,57.14285714285714,1
201800253.json,88,100.0,1
201800254.json,14,100.0,1
201800255.json,28,100.0,1
201800256.json,11,83.33333333333334,1
201800257.json,20,100.0,1
201800258.json,22,100.0,1
201800259.json,7,100.0,1
201800260.json,3,100.0,1
201800261.json,9,100.0,1
201800262.json,1,100.0,1
201800263.json,11,100.0,1
201800264.json,2,81.81818181818183,1
201800265.json,3,100.0,1
201800266.json,1,0.0,0
201800267.json,0,0.0,0
201800268.json,19,100.0,1
201800269.json,33,100.0,1
201800270.json,28,76.66666666666667,1
201800271.json,56,89.79591836734694,1
201800272.json,13,100.0,1
201800273.json,7,75.0,1
201800274.json,17,68.0,1
201800275.json,6,83.33333333333334,1
201800276.json,11,73.33333333333333,1
201800277.json,0,0.0,0
201800278.json,1,0.0,0
201800279.json,1,100.0,1
201800280.json,1,100.0,1
201800281.json,27,100.0,1
201800282.json,31,100.0,1
201800283.json,22,92.0,1
201800284.json,37,94.73684210526316,1
201800285.json,5,66.66666666666666,1
201800286.json,4,100.0,1
201800287.json,39,100.0,1
201800288.json,14,55.55555555555556,1
201800289.json,5,100.0,1
201800290.json,7,77.77777777777779,1
201800291.json,4,100.0,1
201800292.json,4,100.0,1
201800293.json,30,86.66666666666667,1
201800294.json,4,83.33333333333334,1
201800295.json,6,100.0,1
201800296.json,6,87.5,1
201800297.json,18,100.0,1
201800298.json,65,100.0,1
201800299.json,7,100.0,1
201800300.json,54,91.93548387096774,1
201800301.json,5,100.0,1
201800302.json,4,100.0,1
201800303.json,9,76.92307692307693,1
201800304.json,18,90.47619047619048,1
201800305.json,3,100.0,1
201800306.json,0,0.0,0
201800307.json,27,65.78947368421053,1
201800308.json,1,0.0,0
201800309.json,1,0.0,0
201800310.json,2,0.0,0
201800311.json,15,96.0,1
201800312.json,4,80.0,1
201800313.json,4,100.0,1
201800314.json,7,70.0,1
201800315.json,5,91.66666666666666,1
201800316.json,7,88.88888888888889,1
201800317.json,16,70.83333333333334,1
201800318.json,2,90.0,1
201800319.json,0,0.0,0
201800320.json,0,0.0,0
201800321.json,0,0.0,0
201800322.json,1,100.0,1
201800323.json,0,0.0,0
201800324.json,1,100.0,1
201800325.json,0,0.0,0
201800326.json,26,100.0,1
201800327.json,4,0.0,0
201800328.json,108,100.0,1
201800329.json,35,63.888888888888886,1
201800330.json,33,100.0,1
201800331.json,33,100.0,1
201800332.json,9,80.0,1
201800333.json,43,100.0,1
201800334.json,40,100.0,1
201800335.json,54,100.0,1
201800336.json,40,100.0,1
201800337.json,6,81.81818181818183,1
201800338.json,1,0.0,0
201800339.json,0,0.0,0
201800340.json,38,100.0,1
201800341.json,47,100.0,1
201800342.json,42,100.0,1
201800343.json,20,100.0,1
201800344.json,5,100.0,1
201800345.json,57,100.0,1
201800346.json,13,93.75,1
201800347.json,1,100.0,1
201800348.json,48,100.0,1
201800349.json,8,100.0,1
201800350.json,49,100.0,1
201800351.json,4,85.71428571428571,1
201800352.json,15,84.61538461538461,1
201800353.json,11,100.0,1
201800354.json,19,100.0,1
201800355.json,0,0.0,0
201800356.json,2,100.0,1
201800357.json,16,100.0,1
201800358.json,5,100.0,1
201800359.json,18,82.6086956521739,1
201800360.json,18,86.36363636363636,1
201800361.json,1,0.0,0
201800362.json,46,100.0,1
201800363.json,10,70.0,1
201800364.json,23,76.92307692307693,1
201800365.json,13,28.57142857142857,0
201800366.json,13,70.58823529411765,1
201800367.json,15,93.75,1
201800368.json,27,61.11111111111112,1
201800369.json,8,100.0,1
201800370.json,29,100.0,1
201800371.json,15,100.0,1
201800372.json,80,100.0,1
201800373.json,116,100.0,1
201800374.json,70,94.8051948051948,1
201800375.json,14,100.0,1
201800376.json,29,75.0,1
201800377.json,11,100.0,1
201800378.json,60,100.0,1
201800379.json,1,50.0,0
201800380.json,14,95.83333333333334,1
201800381.json,1,0.0,0
201800382.json,26,92.5925925925926,1
201800383.json,11,100.0,1
201800384.json,155,94.2528735632184,1
201800385.json,5,85.71428571428571,1
201800386.json,19,100.0,1
201800387.json,4,71.42857142857143,1
201800388.json,21,100.0,1
201800389.json,14,86.36363636363636,1
201800390.json,0,0.0,0
201800391.json,29,93.93939393939394,1
201800392.json,3,100.0,1
201800393.json,23,51.51515151515152,1
201800394.json,39,100.0,1
201800395.json,10,100.0,1
201800396.json,62,92.06349206349206,1
201800397.json,11,66.66666666666666,1
