order,cited_count,global,cluster
0,242,96.22641509433964,0
1,242,96.22641509433964,0
2,217,93.15789473684212,0
3,141,88.0,0
4,137,89.43661971830986,0
5,134,93.80165289256198,0
6,132,100.0,0
7,132,100.0,0
8,128,79.85611510791367,0
9,128,92.70833333333334,0
10,128,100.0,0
11,115,57.22891566265061,0
12,107,91.1504424778761,0
13,99,100.0,0
14,93,88.37209302325581,0
15,90,88.04347826086956,0
16,86,100.0,0
17,85,55.00000000000001,0
18,84,94.3820224719101,0
19,82,60.74766355140186,0
20,81,79.41176470588235,0
21,80,95.0,0
22,79,82.71604938271605,0
23,79,88.37209302325581,0
24,76,67.32673267326733,0
25,75,85.91549295774648,0
26,71,80.88235294117648,0
27,69,100.0,0
28,69,92.85714285714286,0
29,68,100.0,0
30,67,39.08045977011494,0
31,67,90.53254437869822,0
32,66,65.55555555555556,0
33,66,100.0,0
34,65,94.52054794520548,0
35,63,88.52459016393442,0
36,62,100.0,0
37,61,86.56716417910447,0
38,61,91.17647058823528,0
39,59,86.66666666666667,0
40,59,92.40506329113924,0
41,58,88.23529411764706,0
42,57,89.65517241379311,0
43,57,95.65217391304348,0
44,57,100.0,0
45,56,85.13513513513513,0
46,56,87.87878787878788,0
47,56,92.42424242424242,0
48,56,59.15492957746479,0
49,55,100.0,0
50,55,69.0909090909091,0
51,54,93.75,0
52,54,100.0,0
53,54,90.76923076923076,0
54,54,100.0,0
55,54,92.98245614035088,0
56,54,100.0,0
57,53,96.36363636363636,0
58,52,89.28571428571429,0
59,52,100.0,0
60,52,88.46153846153845,0
61,52,70.6896551724138,0
62,51,100.0,0
63,51,96.66666666666669,0
64,51,100.0,0
65,51,80.76923076923077,0
66,51,82.97872340425532,0
67,51,97.2222222222222,0
68,50,78.57142857142857,0
69,50,100.0,0
70,50,88.13559322033898,0
71,50,100.0,0
72,49,93.75,0
73,49,87.5,0
74,47,75.92592592592592,0
75,46,100.0,0
76,46,86.04651162790698,0
77,46,90.56603773584906,0
78,46,81.89655172413794,0
79,45,92.42424242424242,0
80,45,89.74358974358975,0
81,45,98.21428571428572,0
82,45,62.903225806451616,0
83,45,100.0,0
84,44,94.11764705882352,0
85,44,92.5925925925926,0
86,44,90.2439024390244,0
87,43,91.30434782608695,0
88,43,94.54545454545456,0
89,43,63.26530612244898,0
90,43,92.7536231884058,0
91,43,90.74074074074076,0
92,43,91.66666666666666,0
93,42,100.0,0
94,42,91.8918918918919,0
95,41,86.66666666666667,0
96,41,71.05263157894737,0
97,41,85.1063829787234,0
98,41,95.0,0
