Subject,Total
Agricultural and Biological Sciences,5897
Materials Science,2345
Engineering,3157
Chemistry,2719
Genetics and Molecular Biology,2899
Chemical Engineering,2112
Environmental Science,2517
Medicine,1651
Physics and Astronomy,1329
Immunology and Microbiology,1496
Toxicology and Pharmaceutics,565
Energy,1138
Multidisciplinary,374
Earth and Planetary Sciences,452
Social Sciences,848
Neuroscience,126
Health Professions,181
Management and Accounting,314
Computer Science,1222
Mathematics,404
Veterinary,575
Econometrics and Finance,156
Arts and Humanities,80
Nursing,121
Decision Sciences,189
Psychology,59
Dentistry,3
